大科目类别,子科目名称,题目类型,题目编号,题目文本,题目答案的汉字长度,题目prompt
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,59,绝对化的要求,83,以下是《技能操作》（心理咨询师考试）科目的术语：绝对化的要求，请解释其含义，把回复控制在83个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,60,过分概括化,86,以下是《技能操作》（心理咨询师考试）科目的术语：过分概括化，请解释其含义，把回复控制在86个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,61,糟糕至极,40,以下是《技能操作》（心理咨询师考试）科目的术语：糟糕至极，请解释其含义，把回复控制在40个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,62,共同感受,17,以下是《技能操作》（心理咨询师考试）科目的术语：共同感受，请解释其含义，把回复控制在17个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,63,自动化思维,63,以下是《技能操作》（心理咨询师考试）科目的术语：自动化思维，请解释其含义，把回复控制在63个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,64,规则,49,以下是《技能操作》（心理咨询师考试）科目的术语：规则，请解释其含义，把回复控制在49个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,65,森田疗法,102,以下是《技能操作》（心理咨询师考试）科目的术语：森田疗法，请解释其含义，把回复控制在102个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,66,家庭治疗,67,以下是《技能操作》（心理咨询师考试）科目的术语：家庭治疗，请解释其含义，把回复控制在67个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,67,价值的功能干预,137,以下是《技能操作》（心理咨询师考试）科目的术语：价值的功能干预，请解释其含义，把回复控制在137个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,68,当事人利益优先原则,43,以下是《技能操作》（心理咨询师考试）科目的术语：当事人利益优先原则，请解释其含义，把回复控制在43个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,69,知情同意,100,以下是《技能操作》（心理咨询师考试）科目的术语：知情同意，请解释其含义，把回复控制在100个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,70,双重关系,73,以下是《技能操作》（心理咨询师考试）科目的术语：双重关系，请解释其含义，把回复控制在73个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,71,面质,98,以下是《技能操作》（心理咨询师考试）科目的术语：面质，请解释其含义，把回复控制在98个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,72,澄清,108,以下是《技能操作》（心理咨询师考试）科目的术语：澄清，请解释其含义，把回复控制在108个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,73,同理反应,120,以下是《技能操作》（心理咨询师考试）科目的术语：同理反应，请解释其含义，把回复控制在120个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,74,建议,175,以下是《技能操作》（心理咨询师考试）科目的术语：建议，请解释其含义，把回复控制在175个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,75,观察法,87,以下是《技能操作》（心理咨询师考试）科目的术语：观察法，请解释其含义，把回复控制在87个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,76,心理测验,69,以下是《技能操作》（心理咨询师考试）科目的术语：心理测验，请解释其含义，把回复控制在69个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,77,心理测量,25,以下是《技能操作》（心理咨询师考试）科目的术语：心理测量，请解释其含义，把回复控制在25个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,78,阳性症状,24,以下是《技能操作》（心理咨询师考试）科目的术语：阳性症状，请解释其含义，把回复控制在24个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,79,阴性症状,48,以下是《技能操作》（心理咨询师考试）科目的术语：阴性症状，请解释其含义，把回复控制在48个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,80,强迫行为,105,以下是《技能操作》（心理咨询师考试）科目的术语：强迫行为，请解释其含义，把回复控制在105个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,81,物质戒断,36,以下是《技能操作》（心理咨询师考试）科目的术语：物质戒断，请解释其含义，把回复控制在36个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,82,物质中毒,34,以下是《技能操作》（心理咨询师考试）科目的术语：物质中毒，请解释其含义，把回复控制在34个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,83,物质使用障碍,68,以下是《技能操作》（心理咨询师考试）科目的术语：物质使用障碍，请解释其含义，把回复控制在68个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,84,应激,104,以下是《技能操作》（心理咨询师考试）科目的术语：应激，请解释其含义，把回复控制在104个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,85,心理评估,69,以下是《技能操作》（心理咨询师考试）科目的术语：心理评估，请解释其含义，把回复控制在69个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,86,项目分析,62,以下是《技能操作》（心理咨询师考试）科目的术语：项目分析，请解释其含义，把回复控制在62个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,87,复本信度,26,以下是《技能操作》（心理咨询师考试）科目的术语：复本信度，请解释其含义，把回复控制在26个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,88,相关关系,77,以下是《技能操作》（心理咨询师考试）科目的术语：相关关系，请解释其含义，把回复控制在77个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,89,特殊常模,36,以下是《技能操作》（心理咨询师考试）科目的术语：特殊常模，请解释其含义，把回复控制在36个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,90,次数分布,49,以下是《技能操作》（心理咨询师考试）科目的术语：次数分布，请解释其含义，把回复控制在49个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,91,剖析图,121,以下是《技能操作》（心理咨询师考试）科目的术语：剖析图，请解释其含义，把回复控制在121个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,92,标准分数常模,45,以下是《技能操作》（心理咨询师考试）科目的术语：标准分数常模，请解释其含义，把回复控制在45个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,93,分半信度,49,以下是《技能操作》（心理咨询师考试）科目的术语：分半信度，请解释其含义，把回复控制在49个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,94,常模,39,以下是《技能操作》（心理咨询师考试）科目的术语：常模，请解释其含义，把回复控制在39个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,95,常模参照测验,45,以下是《技能操作》（心理咨询师考试）科目的术语：常模参照测验，请解释其含义，把回复控制在45个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,96,创造力测验,48,以下是《技能操作》（心理咨询师考试）科目的术语：创造力测验，请解释其含义，把回复控制在48个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,97,猜测校正,32,以下是《技能操作》（心理咨询师考试）科目的术语：猜测校正，请解释其含义，把回复控制在32个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,98,投契（融洽）关系,47,以下是《技能操作》（心理咨询师考试）科目的术语：投契（融洽）关系，请解释其含义，把回复控制在47个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,99,临床会谈,60,以下是《技能操作》（心理咨询师考试）科目的术语：临床会谈，请解释其含义，把回复控制在60个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,0,简述初诊招待的工作程序。,144,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在144个汉字左右。
简述初诊招待的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,1,试述摄入性会谈的工作程序。,81,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在81个汉字左右。
试述摄入性会谈的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,2,简述确定会谈内容和范围所依据的参照点。,104,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在104个汉字左右。
简述确定会谈内容和范围所依据的参照点。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,3,简述会谈过程中了解求助者思想和行为的工作纲要。,57,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在57个汉字左右。
简述会谈过程中了解求助者思想和行为的工作纲要。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,4,若咨询过程中心理咨询师提出了不适合的问题，有何悲观作用？,520,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在520个汉字左右。
若咨询过程中心理咨询师提出了不适合的问题，有何悲观作用？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,5,如何处理咨询过程中遇到的危机？,118,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在118个汉字左右。
如何处理咨询过程中遇到的危机？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,6,控制会谈和转换话题的技巧有哪些？,110,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在110个汉字左右。
控制会谈和转换话题的技巧有哪些？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,7,简述会谈法的分类。,61,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在61个汉字左右。
简述会谈法的分类。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,8,简述会谈内容选择需遵循的原则。,193,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在193个汉字左右。
简述会谈内容选择需遵循的原则。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,9,简述会谈法的注意事项。,145,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在145个汉字左右。
简述会谈法的注意事项。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,10,简述心理测验的工作程序。,106,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在106个汉字左右。
简述心理测验的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,11,简述乱用心理测验的判断标准。,210,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在210个汉字左右。
简述乱用心理测验的判断标准。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,12,简述强迫症的常见形式。,46,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在46个汉字左右。
简述强迫症的常见形式。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,13,简述心理测验的三个基本要素。,84,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在84个汉字左右。
简述心理测验的三个基本要素。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,14,简述心理咨询中档案研究法的优缺点。,64,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在64个汉字左右。
简述心理咨询中档案研究法的优缺点。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,15,简述不恰当的提问的类型。,143,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在143个汉字左右。
简述不恰当的提问的类型。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,16,简述临床资料整理与评估的工作程序。,157,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在157个汉字左右。
简述临床资料整理与评估的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,17,简述影响资料可靠性的可能因素。,232,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在232个汉字左右。
简述影响资料可靠性的可能因素。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,18,简述职业倾向对理解资料的影响。,238,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在238个汉字左右。
简述职业倾向对理解资料的影响。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,19,简述资料整理的注意事项。,70,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在70个汉字左右。
简述资料整理的注意事项。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,20,简述从求助者以往的咨询（或治疗）过程中寻找有价值的资料的工作程序。,70,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在70个汉字左右。
简述从求助者以往的咨询（或治疗）过程中寻找有价值的资料的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,21,了解既往史时，需要注意什么问题？,237,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在237个汉字左右。
了解既往史时，需要注意什么问题？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,22,简述引发临床问题的关键点的内涵。,84,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在84个汉字左右。
简述引发临床问题的关键点的内涵。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,23,简述资料分析的注意事项。,69,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在69个汉字左右。
简述资料分析的注意事项。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,24,简述判断正常与异常的心理活动的三项原则。,51,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在51个汉字左右。
简述判断正常与异常的心理活动的三项原则。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,25,如何判断一种心理诊断是否具有科学性？,153,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在153个汉字左右。
如何判断一种心理诊断是否具有科学性？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,26,简述一般心理问题的特点。,62,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在62个汉字左右。
简述一般心理问题的特点。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,27,简述严重心理问题诊断的工作程序。,143,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在143个汉字左右。
简述严重心理问题诊断的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,28,简述提出心理评估报告的工作程序。,96,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在96个汉字左右。
简述提出心理评估报告的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,29,如何选择量表？,86,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在86个汉字左右。
如何选择量表？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,30,简述心理测验的注意事项。,313,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在313个汉字左右。
简述心理测验的注意事项。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,31,简述确定关键点的工作程序。,71,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在71个汉字左右。
简述确定关键点的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,32,简述是否属于工作范围确定的工作程序。,112,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在112个汉字左右。
简述是否属于工作范围确定的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,33,简述初步诊断的工作程序。,121,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在121个汉字左右。
简述初步诊断的工作程序。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,34,心理诊断需要注意什么问题？,53,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在53个汉字左右。
心理诊断需要注意什么问题？"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,35,简述一般心理问题诊断的注意事项。,78,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在78个汉字左右。
简述一般心理问题诊断的注意事项。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,36,试述严重心理问题诊断的注意事项。,95,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在95个汉字左右。
试述严重心理问题诊断的注意事项。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,37,简述尊重的意义以及表达尊重的要点。,249,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在249个汉字左右。
简述尊重的意义以及表达尊重的要点。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,38,简述咨询师的人性观对尊重的影响。,262,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在262个汉字左右。
简述咨询师的人性观对尊重的影响。"
人文与社会科学,《技能操作》（心理咨询师考试）,简答题,39,如何体现咨询师的热情？,71,"以下是《技能操作》（心理咨询师考试）科目的问题，请解答并把回复控制在71个汉字左右。
如何体现咨询师的热情？"
